timestamp,hour,minute,day_of_week,sin_hour,cos_hour,sin_day,cos_day,is_weekend,is_morning_rush,is_evening_rush,weather,weather_multiplier,lag_pcu_N,lag_pcu_S,lag_pcu_E,lag_pcu_W,flow_north_vpm,flow_south_vpm,flow_east_vpm,flow_west_vpm,pcu_north,pcu_south,pcu_east,pcu_west,total_intersection_pcu,congestion_north,congestion_south,congestion_east,congestion_west,critical_approach,target_green_NS,target_green_EW
2026-06-01 00:00,0,0,0,0.0,1.0,0.0,1.0,0,0,0,Clear,1.0,6.0,6.0,6.0,6.0,5.9,6.0,4.9,5.2,1.3,1.3,1.1,1.1,4.8,LOW,LOW,LOW,LOW,N,28.0,24.0
2026-06-01 00:15,0,15,0,0.0654,0.9979,0.0,1.0,0,0,0,Rain,1.25,1.3,1.3,1.1,1.1,7.3,7.8,6.3,6.5,1.6,1.7,1.4,1.4,6.1,LOW,LOW,LOW,LOW,S,28.3,23.7
2026-06-01 00:30,0,30,0,0.1305,0.9914,0.0,1.0,0,0,0,Clear,1.0,1.6,1.7,1.4,1.4,6.1,5.8,5.0,4.8,1.3,1.3,1.1,1.1,4.8,LOW,LOW,LOW,LOW,N,28.5,23.5
2026-06-01 00:45,0,45,0,0.1951,0.9808,0.0,1.0,0,0,0,Clear,1.0,1.3,1.3,1.1,1.1,5.9,5.8,5.0,4.8,1.3,1.3,1.1,1.1,4.8,LOW,LOW,LOW,LOW,N,28.2,23.8
2026-06-01 01:00,1,0,0,0.2588,0.9659,0.0,1.0,0,0,0,Rain,1.25,1.3,1.3,1.1,1.1,7.6,7.5,6.3,6.5,1.7,1.6,1.4,1.4,6.1,LOW,LOW,LOW,LOW,N,28.1,23.9
2026-06-01 01:15,1,15,0,0.3214,0.9469,0.0,1.0,0,0,0,Clear,1.0,1.7,1.6,1.4,1.4,6.1,6.0,4.8,5.1,1.3,1.3,1.1,1.1,4.8,LOW,LOW,LOW,LOW,N,28.5,23.5
2026-06-01 01:30,1,30,0,0.3827,0.9239,0.0,1.0,0,0,0,Clear,1.0,1.3,1.3,1.1,1.1,6.2,5.9,5.1,5.2,1.4,1.3,1.1,1.1,4.9,LOW,LOW,LOW,LOW,N,28.2,23.8
2026-06-01 01:45,1,45,0,0.4423,0.8969,0.0,1.0,0,0,0,Rain,1.25,1.4,1.3,1.1,1.1,7.5,7.3,6.1,6.1,1.6,1.6,1.3,1.3,5.8,LOW,LOW,LOW,LOW,N,28.6,23.4
2026-06-01 02:00,2,0,0,0.5,0.866,0.0,1.0,0,0,0,Clear,1.0,1.6,1.6,1.3,1.3,6.0,6.3,4.9,5.0,1.3,1.4,1.1,1.1,4.9,LOW,LOW,LOW,LOW,S,28.9,23.1
2026-06-01 02:15,2,15,0,0.5556,0.8315,0.0,1.0,0,0,0,Clear,1.0,1.3,1.4,1.1,1.1,5.9,5.7,5.1,4.9,1.3,1.3,1.1,1.1,4.8,LOW,LOW,LOW,LOW,N,27.9,24.1
2026-06-01 02:30,2,30,0,0.6088,0.7934,0.0,1.0,0,0,0,Clear,1.0,1.3,1.3,1.1,1.1,5.7,6.3,5.1,4.9,1.3,1.4,1.1,1.1,4.9,LOW,LOW,LOW,LOW,S,28.5,23.5
2026-06-01 02:45,2,45,0,0.6593,0.7518,0.0,1.0,0,0,0,Heavy Rain,1.5,1.3,1.4,1.1,1.1,8.6,8.9,7.3,7.1,1.9,2.0,1.6,1.6,7.1,LOW,LOW,LOW,LOW,S,28.5,23.5
2026-06-01 03:00,3,0,0,0.7071,0.7071,0.0,1.0,0,0,0,Rain,1.25,1.9,2.0,1.6,1.6,7.8,7.2,6.1,6.2,1.7,1.6,1.3,1.4,6.0,LOW,LOW,LOW,LOW,N,28.8,23.2
2026-06-01 03:15,3,15,0,0.7518,0.6593,0.0,1.0,0,0,0,Clear,1.0,1.7,1.6,1.3,1.4,5.8,6.0,5.1,4.9,1.3,1.3,1.1,1.1,4.8,LOW,LOW,LOW,LOW,N,28.1,23.9
