time_hour,sin_time,cos_time,is_rush_hour,flow_N,flow_S,flow_E,flow_W,pcu_N_L0,pcu_N_L1,pcu_S_L0,pcu_S_L1,pcu_E_L0,pcu_E_L1,pcu_W_L0,pcu_W_L1,tot_pcu_N,tot_pcu_S,tot_pcu_E,tot_pcu_W,max_wait_sec,active_axis,asym_ratio,optimal_policy_code,optimal_policy_name,optimal_green_sec
20.116666666666667,-0.8504,0.5262,0,24.6,17.6,60.9,21.3,1.9,3.2,5.2,4.2,5.1,11.9,2.3,0.6,5.1,9.4,17.0,2.9,29.5,EW,3.81,3,E_EXCLUSIVE_GREEN,45.0
7.233333333333333,0.9483,-0.3173,1,117.3,18.6,81.8,17.3,10.2,22.5,1.8,1.8,6.8,17.8,0.4,2.1,32.7,3.6,24.6,2.5,68.4,NS,7.18,1,N_EXCLUSIVE_GREEN,45.0
4.783333333333333,0.9497,0.3132,0,98.8,20.5,25.8,22.4,6.3,17.1,3.3,3.3,2.2,3.2,1.4,6.1,23.400000000000002,6.6,5.4,7.5,27.4,NS,3.85,1,N_EXCLUSIVE_GREEN,45.0
18.45,-0.9931,0.1175,1,13.5,50.4,24.9,53.7,1.9,3.6,4.6,6.1,0.5,6.8,9.5,5.8,5.5,10.7,7.3,15.3,24.0,EW,2.04,4,W_EXCLUSIVE_GREEN,45.0
1.0166666666666666,0.263,0.9648,0,30.0,61.8,19.4,21.8,2.8,9.8,6.7,8.8,1.4,3.6,0.9,2.2,12.600000000000001,15.5,5.0,3.1,27.3,NS,1.46,2,S_EXCLUSIVE_GREEN,45.0
16.633333333333333,-0.9367,-0.3502,1,12.9,109.2,13.5,49.4,3.6,2.0,10.8,16.1,1.5,1.3,3.2,15.9,5.6,26.900000000000002,2.8,19.1,58.3,NS,5.61,2,S_EXCLUSIVE_GREEN,45.0
0.5833333333333334,0.1521,0.9884,0,17.5,26.9,22.7,93.6,1.8,2.7,1.8,5.3,1.7,4.1,10.0,12.0,4.5,7.1,5.8,22.0,31.7,EW,3.76,4,W_EXCLUSIVE_GREEN,45.0
7.466666666666667,0.9272,-0.3746,1,66.2,16.2,59.6,24.5,9.7,7.3,0.7,0.5,6.4,6.6,6.3,2.1,17.0,1.2,13.0,8.4,34.9,EW,1.81,3,E_EXCLUSIVE_GREEN,45.0
18.283333333333335,-0.9973,0.0741,1,20.5,56.9,14.8,63.5,1.4,2.4,5.3,4.9,3.5,3.3,11.1,11.1,3.8,10.2,6.8,22.2,24.9,EW,3.4,4,W_EXCLUSIVE_GREEN,45.0
0.8,0.2079,0.9781,0,24.0,39.8,34.5,25.8,4.1,1.5,5.8,10.3,1.9,7.9,7.9,2.1,5.6,16.1,9.8,10.0,23.7,NS,2.21,2,S_EXCLUSIVE_GREEN,45.0
22.45,-0.3947,0.9188,0,18.1,66.3,19.0,22.6,0.6,0.7,6.9,10.8,1.5,2.5,3.6,2.4,1.2999999999999998,17.700000000000003,4.0,6.0,35.8,NS,5.71,2,S_EXCLUSIVE_GREEN,45.0
6.8,0.9781,-0.2079,0,91.8,28.7,21.8,17.7,13.0,11.3,3.1,4.5,0.6,6.1,3.6,3.6,24.3,7.6,6.699999999999999,7.2,50.9,NS,3.08,1,N_EXCLUSIVE_GREEN,45.0
12.1,-0.0262,-0.9997,0,22.5,22.6,57.8,20.7,3.1,3.8,2.4,3.7,3.8,4.2,2.5,1.5,6.9,6.1,8.0,4.0,15.4,EW,2.27,3,E_EXCLUSIVE_GREEN,32.9
19.266666666666666,-0.9455,0.3256,1,21.4,128.1,15.2,110.8,1.4,10.1,16.9,11.9,1.5,1.0,11.5,20.8,11.5,28.799999999999997,2.5,32.3,39.0,NS,3.34,2,S_EXCLUSIVE_GREEN,45.0
1.7666666666666666,0.4462,0.8949,0,34.6,32.0,25.8,23.3,5.7,6.4,8.0,3.2,0.7,3.3,7.3,1.3,12.100000000000001,11.2,4.0,8.6,17.9,NS,1.05,0,BALANCED_PHASE,37.2
3.9833333333333334,0.8638,0.5038,0,21.1,20.8,137.5,24.6,1.7,6.2,1.9,3.5,12.4,23.3,3.7,10.9,7.9,5.4,35.7,14.600000000000001,52.2,EW,3.16,3,E_EXCLUSIVE_GREEN,45.0
20.65,-0.7688,0.6394,0,20.4,21.0,33.5,37.4,0.1,2.1,2.2,1.9,2.6,6.2,5.2,7.5,2.2,4.1,8.8,12.7,27.8,EW,1.26,0,BALANCED_PHASE,39.9
11.6,0.1045,-0.9945,0,82.2,24.7,19.2,25.2,6.5,12.4,4.9,7.5,1.7,3.5,2.1,2.2,18.9,12.4,5.2,4.300000000000001,26.4,NS,1.98,1,N_EXCLUSIVE_GREEN,45.0
1.7,0.4305,0.9026,0,20.4,19.5,58.1,19.1,7.6,1.8,1.7,2.2,8.7,11.7,4.7,2.0,9.4,3.9000000000000004,20.4,6.7,37.7,EW,2.91,3,E_EXCLUSIVE_GREEN,45.0
2.9,0.6884,0.7254,0,129.0,30.9,17.3,24.6,14.9,17.5,2.6,7.3,1.2,2.4,1.8,4.5,32.4,9.9,3.5999999999999996,6.3,55.1,NS,3.51,1,N_EXCLUSIVE_GREEN,45.0
12.283333333333333,-0.0741,-0.9973,0,20.4,29.1,31.1,21.4,0.8,3.1,5.2,5.7,3.1,3.7,6.9,2.9,3.9000000000000004,10.9,6.800000000000001,9.8,14.5,EW,1.38,0,BALANCED_PHASE,31.7
11.166666666666666,0.2164,-0.9763,0,28.3,77.8,25.0,21.5,5.1,5.2,16.4,9.2,3.3,1.5,6.8,6.3,10.3,25.599999999999998,4.8,13.1,30.2,NS,2.5,2,S_EXCLUSIVE_GREEN,45.0
21.283333333333335,-0.6528,0.7576,0,25.1,29.0,20.3,21.7,1.6,0.5,1.4,5.1,2.3,7.2,2.5,2.6,2.1,6.5,9.5,5.1,20.4,NS,1.61,2,S_EXCLUSIVE_GREEN,25.3
21.683333333333334,-0.57,0.8216,0,21.2,102.9,20.4,21.0,0.3,3.8,8.4,23.2,1.9,2.5,4.0,4.6,4.1,31.6,4.4,8.6,39.7,NS,5.9,2,S_EXCLUSIVE_GREEN,45.0
17.766666666666666,-0.9981,-0.061,1,23.2,88.2,26.8,61.7,5.5,5.8,8.9,12.3,6.0,4.0,9.1,9.9,11.3,21.200000000000003,10.0,19.0,37.3,NS,2.36,2,S_EXCLUSIVE_GREEN,45.0
7.166666666666667,0.9537,-0.3007,1,101.3,23.4,107.0,23.5,12.5,18.4,0.9,3.3,15.8,15.0,1.1,3.2,30.9,4.2,30.8,4.300000000000001,44.4,EW,5.5,3,E_EXCLUSIVE_GREEN,45.0
14.4,-0.5878,-0.809,0,22.6,63.0,32.1,19.0,0.8,5.5,4.9,8.2,1.2,3.5,0.1,4.7,6.3,13.1,4.7,4.8,21.1,NS,2.27,2,S_EXCLUSIVE_GREEN,44.7
21.333333333333332,-0.6428,0.766,0,26.1,36.1,27.6,26.1,1.0,2.4,1.2,4.0,1.1,9.7,4.5,4.1,3.4,5.2,10.799999999999999,8.6,20.5,EW,1.14,0,BALANCED_PHASE,33.6
1.2333333333333334,0.3173,0.9483,0,27.9,35.5,31.2,29.3,1.3,7.0,2.8,4.9,2.3,3.8,4.4,5.5,8.3,7.7,6.1,9.9,19.6,NS,1.12,0,BALANCED_PHASE,29.9
10.416666666666666,0.4027,-0.9153,0,26.8,111.8,20.4,17.8,2.4,1.2,14.4,14.7,0.2,3.5,0.5,2.4,3.5999999999999996,29.1,3.7,2.9,30.9,NS,5.44,2,S_EXCLUSIVE_GREEN,45.0
18.933333333333334,-0.9703,0.2419,1,19.1,133.1,23.3,46.4,0.4,1.7,18.1,18.1,9.7,3.8,5.0,9.0,2.1,36.2,13.5,14.0,42.3,NS,9.79,2,S_EXCLUSIVE_GREEN,45.0
22.333333333333332,-0.4226,0.9063,0,19.0,28.0,28.9,112.9,5.4,3.3,9.0,7.9,2.0,1.2,10.8,20.2,8.7,16.9,3.2,31.0,51.2,EW,5.66,4,W_EXCLUSIVE_GREEN,45.0
12.933333333333334,-0.2419,-0.9703,0,21.0,24.6,35.8,20.6,1.5,1.6,1.6,6.3,3.7,3.0,0.8,7.3,3.1,7.9,6.7,8.1,11.4,EW,1.35,0,BALANCED_PHASE,28.8
14.15,-0.5336,-0.8457,0,18.8,122.8,18.5,29.8,2.3,1.9,15.0,25.2,4.6,1.4,1.0,1.4,4.199999999999999,40.2,6.0,2.4,85.9,NS,7.66,2,S_EXCLUSIVE_GREEN,45.0
23.583333333333332,-0.1089,0.9941,0,34.7,25.2,26.6,24.8,7.8,11.9,3.6,4.4,0.9,4.4,2.5,13.0,19.7,8.0,5.300000000000001,15.5,21.0,NS,1.97,1,N_EXCLUSIVE_GREEN,45.0
23.616666666666667,-0.1002,0.995,0,30.0,22.2,39.8,30.0,4.1,7.0,2.1,2.6,9.4,5.5,2.4,4.0,11.1,4.7,14.9,6.4,26.2,EW,1.77,3,E_EXCLUSIVE_GREEN,44.6
18.416666666666668,-0.9941,0.1089,1,26.8,110.6,14.8,47.3,4.1,2.4,11.3,14.9,1.4,1.8,5.2,19.3,6.5,26.200000000000003,3.2,24.5,50.6,NS,3.91,2,S_EXCLUSIVE_GREEN,45.0
11.233333333333333,0.1994,-0.9799,0,27.5,26.2,27.8,28.6,1.0,3.4,1.8,1.5,1.4,6.9,6.0,6.4,4.4,3.3,8.3,12.4,13.9,EW,1.26,0,BALANCED_PHASE,36.3
4.533333333333333,0.9272,0.3746,0,22.2,33.9,24.2,32.3,0.7,5.3,1.7,11.1,0.9,1.0,8.5,2.4,6.0,12.799999999999999,1.9,10.9,21.9,NS,1.79,2,S_EXCLUSIVE_GREEN,38.9
1.9166666666666665,0.481,0.8767,0,26.6,66.7,24.0,21.9,1.3,4.5,6.7,10.6,4.8,2.8,1.9,1.1,5.8,17.3,7.6,3.0,34.6,NS,2.64,2,S_EXCLUSIVE_GREEN,45.0
